,review,rating,bus_id,avg_rating,bus_add,bus_city,lat,lon
0,"The cakes are beautiful and delicious, but you’d need to pick it up yourself instead of getting it delivered so that the cake doesn’t end up smashed in transit. They have great customer service. I will always get cakes here and make time to pick it up myself",5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
1,"The entire experience was excellent: well-brewed coffee, daily fresh bakery, the sweets are incredible, the medialunas are great, the staff is kind, and the place is clean. It is a must if you are in Jersey City.",5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
2,"Everything was great.

Food, service, and the atmosphere. Everyone was very nice. Everything was very …",5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
3,"The soup is amazing. My family likes the Italian wedding and chicken noodle soups, which are served with a generous portion of sliced freshly baked bread. We also ordered the French palmier elephant ear pastries, bacon and egg platters, and avocado toast.",5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
4,"Absolutely love Dulce de Leche Bakery in Jersey City, NJ! Their pastries are a dream for any occasion, and I just got mine for Mother's Day breakfast.
So delicious and beautifully crafted! Thank you for the amazing treats!",5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
5,"We had the coconut mousse cake. It was beautiful to look at but somewhat average in terms of taste. If you are used to buttery, light and decadent French cakes (or Korean versions of French cakes), the coconut mousse cake does not make the …",3,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
6,"I'd rate the food an impressive 8.3 out of 10 for its outstanding value, especially considering the reasonable prices. The service was excellent, and the environment was clean and inviting. Highly recommended!",5,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
7,"Embarrasing. They raised the price of the ham, cheese, roasted red pepper and completely reduce the quality in half. It's a joke what they are selling now. The thin cheese is unbelievable, and barely have roasted pepper. They used to have …",1,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
8,"I’ve been going to this bakery in this location for almost two years now. This is my favorite bakery in town! I 100% recommend any of their cake and pastries. I now order the whole cake for birthdays, etc. and they never disappoint - not …",4,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
9,"This bakery offers a delightful atmosphere with a tempting array of freshly baked goods. From decadent cakes to mouthwatering sweets, the diverse selection caters to various tastes. The cozy ambiance and friendly staff enhance the overall experience, making it a charming spot for indulging in delicious treats.",4,Dulce De Leche Bakery,4.7,376 Central Ave, Jersey City,40.7476428,-74.0527625
